127.0.0.1 - - [18/Jun/2018:21:34:08 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:43 -0300] "GET /DashboardSpringMVC/ HTTP/1.1" 200 5949
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:46 -0300] "GET /DashboardSpringMVC/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:46 -0300] "GET /DashboardSpringMVC/assets/global/plugins/select2/css/select2-bootstrap.min.css HTTP/1.1" 200 15551
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:46 -0300] "GET /DashboardSpringMVC/assets/global/plugins/select2/css/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:46 -0300] "GET /DashboardSpringMVC/assets/global/css/plugins.min.css HTTP/1.1" 200 42166
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:46 -0300] "GET /DashboardSpringMVC/assets/global/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117914
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:46 -0300] "GET /DashboardSpringMVC/assets/global/css/components.min.css HTTP/1.1" 200 616289
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:46 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jquery.min.js HTTP/1.1" 200 97166
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:46 -0300] "GET /DashboardSpringMVC/assets/global/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:47 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jquery.blockui.min.js HTTP/1.1" 200 9569
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:47 -0300] "GET /DashboardSpringMVC/assets/global/plugins/bootstrap-switch/js/bootstrap-switch.min.js HTTP/1.1" 200 14903
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:47 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jquery-validation/js/jquery.validate.min.js HTTP/1.1" 200 21082
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:48 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jquery-validation/js/additional-methods.min.js HTTP/1.1" 200 17210
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:48 -0300] "GET /DashboardSpringMVC/assets/global/scripts/app.min.js HTTP/1.1" 200 15509
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:34:48 -0300] "GET /DashboardSpringMVC/assets/global/plugins/select2/js/select2.full.min.js HTTP/1.1" 200 75005
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:35:04 -0300] "GET /DashboardSpringMVC/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:35:59 -0300] "POST /DashboardSpringMVC/sistema/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:19 -0300] "GET /DashboardSpringMVC/dashboard/index HTTP/1.1" 200 33912
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:20 -0300] "GET /DashboardSpringMVC/assets/global/plugins/fullcalendar/fullcalendar.min.css HTTP/1.1" 200 11764
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:21 -0300] "GET /DashboardSpringMVC/assets/layouts/layout/css/themes/darkblue.min.css HTTP/1.1" 200 32447
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:21 -0300] "GET /DashboardSpringMVC/assets/layouts/layout/css/layout.min.css HTTP/1.1" 200 80276
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:21 -0300] "GET /DashboardSpringMVC/assets/global/css/components-rounded.min.css HTTP/1.1" 200 616034
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:22 -0300] "GET /DashboardSpringMVC/assets/global/plugins/moment.min.js HTTP/1.1" 200 34436
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:22 -0300] "GET /DashboardSpringMVC/assets/global/plugins/morris/morris.min.js HTTP/1.1" 200 35652
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:22 -0300] "GET /DashboardSpringMVC/assets/global/plugins/bootstrap-daterangepicker/daterangepicker.min.js HTTP/1.1" 200 31594
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:22 -0300] "GET /DashboardSpringMVC/assets/global/plugins/morris/raphael-min.js HTTP/1.1" 200 91488
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:22 -0300] "GET /DashboardSpringMVC/assets/global/plugins/counterup/jquery.waypoints.min.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:22 -0300] "GET /DashboardSpringMVC/assets/global/plugins/amcharts/amcharts/amcharts.js HTTP/1.1" 200 212599
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:22 -0300] "GET /DashboardSpringMVC/assets/global/plugins/amcharts/amcharts/serial.js HTTP/1.1" 200 26650
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:23 -0300] "GET /DashboardSpringMVC/assets/global/plugins/amcharts/amcharts/radar.js HTTP/1.1" 200 6625
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:23 -0300] "GET /DashboardSpringMVC/assets/global/plugins/amcharts/amcharts/themes/patterns.js HTTP/1.1" 200 7358
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:23 -0300] "GET /DashboardSpringMVC/assets/global/plugins/amcharts/amcharts/themes/chalk.js HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:23 -0300] "GET /DashboardSpringMVC/assets/global/plugins/amcharts/ammap/ammap.js HTTP/1.1" 200 147240
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:23 -0300] "GET /DashboardSpringMVC/assets/global/plugins/amcharts/ammap/maps/js/worldLow.js HTTP/1.1" 200 137603
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:23 -0300] "GET /DashboardSpringMVC/assets/global/plugins/fullcalendar/fullcalendar.min.js HTTP/1.1" 200 98475
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:23 -0300] "GET /DashboardSpringMVC/assets/global/plugins/amcharts/amstockcharts/amstock.js HTTP/1.1" 200 55923
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:23 -0300] "GET /DashboardSpringMVC/assets/global/plugins/horizontal-timeline/horizontal-timeline.js HTTP/1.1" 200 12434
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:24 -0300] "GET /DashboardSpringMVC/assets/global/plugins/flot/jquery.flot.min.js HTTP/1.1" 200 52966
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:24 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jqvmap/jqvmap/jquery.vmap.js HTTP/1.1" 200 27554
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:24 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jquery.sparkline.min.js HTTP/1.1" 200 43251
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:24 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.russia.js HTTP/1.1" 200 157651
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:24 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.germany.js HTTP/1.1" 200 55443
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:24 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 200 60600
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:24 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.europe.js HTTP/1.1" 200 97655
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:24 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jqvmap/jqvmap/data/jquery.vmap.sampledata.js HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:24 -0300] "GET /DashboardSpringMVC/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47620
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:25 -0300] "GET /DashboardSpringMVC/assets/pages/scripts/dashboard.min.js HTTP/1.1" 200 21261
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:25 -0300] "GET /DashboardSpringMVC/assets/layouts/layout/scripts/layout.min.js HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:27 -0300] "GET /DashboardSpringMVC/assets/global/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 200 64464
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:28 -0300] "GET /DashboardSpringMVC/assets/global/plugins/simple-line-icons/fonts/Simple-Line-Icons.woff HTTP/1.1" 200 59324
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:36:36 -0300] "GET /DashboardSpringMVC/dashboard/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:25 -0300] "GET /DashboardSpringMVC/Usuario/Consulta HTTP/1.1" 200 28924
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:25 -0300] "GET /DashboardSpringMVC/assets/global/plugins/datatables/datatables.min.css HTTP/1.1" 200 31465
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:25 -0300] "GET /DashboardSpringMVC/assets/global/plugins/datatables/plugins/bootstrap/datatables.bootstrap.css HTTP/1.1" 200 4470
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:26 -0300] "GET /DashboardSpringMVC/assets/global/plugins/bootstrap-datepicker/css/bootstrap-datepicker3.min.css HTTP/1.1" 200 26199
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:26 -0300] "GET /DashboardSpringMVC/assets/global/scripts/datatable.js HTTP/1.1" 200 12769
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:26 -0300] "GET /DashboardSpringMVC/assets/global/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js HTTP/1.1" 200 31703
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:26 -0300] "GET /DashboardSpringMVC/assets/global/plugins/datatables/plugins/bootstrap/datatables.bootstrap.js HTTP/1.1" 200 18611
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:26 -0300] "GET /DashboardSpringMVC/assets/global/plugins/datatables/datatables.min.js HTTP/1.1" 200 1284525
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:26 -0300] "GET /DashboardSpringMVC/assets/pages/scripts/table-datatables-buttons.min.js HTTP/1.1" 200 4645
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:35 -0300] "GET /DashboardSpringMVC/assets/global/plugins/datatables/images/sort_both.png HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:37 -0300] "GET /DashboardSpringMVC/assets/global/plugins/datatables/images/sort_asc.png HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:38:39 -0300] "GET /DashboardSpringMVC/Usuario/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:41:58 -0300] "GET /DashboardSpringMVC/Usuario/Consulta HTTP/1.1" 200 29463
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:42:03 -0300] "GET /DashboardSpringMVC/Produto/Consulta HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:42:03 -0300] "GET /AreaAdministrativa/ControleAcesso/AcessoNegado HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:42:03 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:43:17 -0300] "GET /DashboardSpringMVC/ControleAcesso/Consulta HTTP/1.1" 200 29059
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:43:19 -0300] "GET /DashboardSpringMVC/ControleAcesso/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:43:28 -0300] "GET /DashboardSpringMVC/ControleAcesso/Alteracao?usuario=root HTTP/1.1" 200 27875
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:43:29 -0300] "GET /DashboardSpringMVC/assets/pages/scripts/components-bootstrap-switch.min.js HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:43:40 -0300] "GET /DashboardSpringMVC/ControleAcesso/Salvar?usuario=root&3=on&2=on&1=on HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:43:42 -0300] "GET /DashboardSpringMVC/ControleAcesso/Consulta?mensagem=sucesso HTTP/1.1" 200 29253
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:43:44 -0300] "GET /DashboardSpringMVC/assets/global/img/remove-icon-small.png HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:43:50 -0300] "GET /DashboardSpringMVC/Produto/Consulta HTTP/1.1" 500 11707
